SpTypeComplete	SpTypeNoLumin	SpTypeWholeNumber	SpTypeAlphaOnly	Name
O9III	O9	O9	O	HD024431_20171211.txt
O9III	O9	O9	O	HD028446A_20171211.txt
O9V	O9	O9	O	HD214680_20171009.txt
O9.2IV	O9.2	O9	O	HD149757_20180618.txt
O9.5III	O9.5	O9	O	HD093521_20180303.txt
O9.5IV	O9.5	O9	O	HD202214_20170922.txt
O9.5IV-V	O9.5	O9	O	HD206183_20171025.txt
O9.5V	O9.5	O9	O	HD034078_20171211.txt
O9.7III	O9.7	O9	O	HD189957_20170910.txt
O9.7IV	O9.7	O9	O	HD209339_20171009.txt
B0V	B0	B0	B	HD036512_20171211.txt
B0.2III	B0.2	B0	B	HD006675_20171126.txt
B0.2IV	B0.2	B0	B	HD036822_20171211.txt
B0.2V	B0.2	B0	B	HD149438_20160607.txt
B0.2V	B0.2	B0	B	HD149438_20170524.txt
B0.5III	B0.5	B0	B	HD218376_20171013.txt
B0.5IV	B0.5	B0	B	HD034816_20171211.txt
B0.5V	B0.5	B0	B	HD036960_20171211.txt
B0.7III	B0.7	B0	B	HD024760_20170211.txt
B1III	B1	B1	B	HD023180_20171126.txt
B1V	B1	B1	B	HD144470_20160607.txt
B1V	B1	B1	B	HD144470_20170524.txt
B1.5III	B1.5	B1	B	HD214993_20171013.txt
B1.5V	B1.5	B1	B	HD154445_20160607.txt
B1.5V	B1.5	B1	B	HD154445_20170524.txt
B2III	B2	B2	B	HD030836_20171211.txt
B2III	B2	B2	B	HD035468_20171211.txt
B2III	B2	B2	B	HD035468_20180105.txt
B2IV	B2	B2	B	HD000886_20171009.txt
B2IV	B2	B2	B	HD016582_20171126.txt
B2V	B2	B2	B	HD145482_20180618.txt
B2.5III	B2.5	B2	B	HD207330_20171009.txt
B2.5V	B2.5	B2	B	HD148605_20160607.txt
B2.5V	B2.5	B2	B	HD148605_20170524.txt
B2.5V	B2.5	B2	B	HD214432_20171009.txt
B3III	B3	B3	B	HD021483_20170109.txt
B3IV	B3	B3	B	HD037711_20180303.txt
B3V	B3	B3	B	HD020365_20171126.txt
B3V	B3	B3	B	HD032630_20170109.txt
B3V	B3	B3	B	HD074280_20180302.txt
B3V	B3	B3	B	HD120315_20150624.txt
B3V	B3	B3	B	HD120315_20160607.txt
B3V	B3	B3	B	HD120315_20170524.txt
B3V	B3	B3	B	HD120315_20170608.txt
B3V	B3	B3	B	HD120315_20180607.txt
B3V	B3	B3	B	HD120315_20180613.txt
B3V	B3	B3	B	HD120315_20180625.txt
B5III	B5	B5	B	HD034503_20171211.txt
B5IV	B5	B5	B	HD147394_20150625.txt
B5IV	B5	B5	B	HD147394_20160607.txt
B5IV	B5	B5	B	HD147394_20170524.txt
B5V	B5	B5	B	HD034759_20171211.txt
B6IV	B6	B6	B	HD023338_20171126.txt
B7III	B7	B7	B	HD035497_20171211.txt
B7IV	B7	B7	B	HD023288_20171126.txt
B7V	B7	B7	B	HD021071_20170109.txt
B8III	B8	B8	B	HD023850_20171126.txt
B8V	B8	B8	B	HD019356_20170104.txt
B8V	B8	B8	B	HD019356_20170109.txt
B8V	B8	B8	B	HD023324_20171126.txt
B9III	B9	B9	B	HD176437_20170922.txt
B9IV	B9	B9	B	HD196867_20170910.txt
B9V	B9	B9	B	HD016046_20171126.txt
B9.5V	B9.5	B9	B	HD023873_20171211.txt
A0III	A0	A0	A	HD061931_20180302.txt
A0III	A0	A0	A	HD087887_20170524.txt
A0III	A0	A0	A	HD123299_20170524.txt
A0IV	A0	A0	A	HD210419_20171009.txt
A0V	A0	A0	A	HD023629_20171211.txt
A0V	A0	A0	A	HD071155_20180302.txt
A0V	A0	A0	A	HD103287_20170524.txt
A0V	A0	A0	A	HD172167_20150609.txt
A0V	A0	A0	A	HD172167_20150915.txt
A0V	A0	A0	A	HD172167_20150917.txt
A0V	A0	A0	A	HD172167_20150929.txt
A0V	A0	A0	A	HD172167_20170524.txt
A0V	A0	A0	A	HD172167_20170910.txt
A0V	A0	A0	A	HD172167_20170915.txt
A0V	A0	A0	A	HD172167_20170922.txt
A0V	A0	A0	A	HD172167_20171012.txt
A0V	A0	A0	A	HD172167_20180702.txt
A0V	A0	A0	A	HD172167_20180703.txt
A0V	A0	A0	A	HD201184_20170922.txt
A1IV	A1	A1	A	HD073262_20180302.txt
A1IV	A1	A1	A	HD139006_20150623.txt
A1IV	A1	A1	A	HD139006_20180607.txt
A1IV	A1	A1	A	HD139006_20180618.txt
A1IV	A1	A1	A	HD216735_20171013.txt
A1V	A1	A1	A	HD009132_20171126.txt
A2III	A2	A2	A	HD056169_20180410.txt
A2IV	A2	A2	A	HD097277_20170524.txt
A2IV	A2	A2	A	HD141003_20170524.txt
A3IV	A3	A3	A	HD033111_20171211.txt
A3V	A3	A3	A	HD023643_20171211.txt
A3V	A3	A3	A	HD102647_20170524.txt
A3V	A3	A3	A	HD216956_20171025.txt
