	Feature	Importance
0	Hep_R_Strength	0.060940343182504984
1	Hep_L_Strength	0.05834524006854984
2	Hep_L_Avg	0.05614638764624006
3	Hb_R_Strength	0.052053489075411366
4	Hep_L_Gam	0.050875135406742156
5	Hgam_R_Strength	0.05077285780800343
6	Hdel_R_Strength	0.05020979639149306
7	Hgam_L_Strength	0.04807424704009643
8	Hgam_L_Gam	0.04641874371142368
9	Hdel_L_Gam	0.0456850989572709
10	H8_L_Gam	0.04446622281014309
11	H8_L_Cont	0.039991319081048415
12	H8_L_Strength	0.039748821183794865
13	Hdel_R_Gam	0.03473769404057142
14	Hep_R_Gam	0.03378968276661998
15	Hb_R_Gam	0.03246822482093373
16	Hgam_R_Gam	0.030413868351721433
17	Hdel_L_Avg	0.029298759706136455
18	Hdel_L_Strength	0.029036046751072252
19	Hdel_L_Cont	0.028808454104820188
20	Hep_L_Cont	0.013850199165973442
21	Hb_R_Avg	0.013237425561304474
22	Hb_L_Gam	0.013045001018948678
23	Hdel_R_Cont	0.012450122757019132
24	Hep_R_Avg	0.012290437152980808
25	Hb_L_Strength	0.011399358493954652
26	H8_L_Avg	0.010170124884613626
27	H8_R_Strength	0.010057847956694236
28	Hgam_L_Avg	0.00529233267569546
29	H8_R_Gam	0.004925155628021202
30	Hgam_L_Cont	0.00458878171866867
31	Hb_L_Avg	0.0044450465866303634
32	Hgam_R_Avg	0.003462326322007071
33	H8_R_Cont	0.003367407425396368
34	Hgam_R_Cont	0.003274959510726094
35	Hb_L_Cont	0.003015670531857071
36	Hep_R_Cont	0.002895221795886254
37	H8_R_Avg	0.0026227896355968446
38	Hdel_R_Avg	0.0021814381915341266
39	Hb_R_Cont	0.0011479200818935256
