	Feature	Importance
0	Hdel_L_Cont	0.04616011295074455
1	Hdel_L_Strength	0.04199790197726246
2	Hgam_L_Gam	0.03993816009288551
3	H8_L_Cont	0.03843965005933915
4	Hb_L_Strength	0.037117039081672895
5	Hb_L_Gam	0.03647565933365909
6	Hdel_R_Cont	0.03260773981810297
7	Hep_R_Strength	0.032510591896628804
8	Hgam_L_Strength	0.032218419444984235
9	Hgam_R_Strength	0.0318901657885394
10	Hep_R_Cont	0.030686524685319284
11	Hep_R_Gam	0.028458259511153983
12	Hep_L_Gam	0.02814617853999078
13	H8_L_Strength	0.028015972758988452
14	Hb_R_Strength	0.027214478171514657
15	Hdel_R_Strength	0.02720059395670915
16	Hep_L_Strength	0.025148829089400197
17	Hdel_L_Gam	0.02398882914110478
18	Hdel_R_Avg	0.023922743476641292
19	H8_L_Avg	0.023859007540948947
20	Hgam_L_Avg	0.023114286339868707
21	Hb_R_Gam	0.022273565351855314
22	Hgam_R_Gam	0.02194443940571701
23	Hdel_R_Gam	0.021857071008235345
24	H8_L_Gam	0.021854358964088234
25	Hb_L_Avg	0.021645347975403927
26	Hep_L_Avg	0.018909534197143023
27	Hdel_L_Avg	0.018610664031802483
28	H8_R_Avg	0.018463479011948877
29	Hgam_L_Cont	0.018262917076881928
30	Hgam_R_Cont	0.017927739558905236
31	Hep_L_Cont	0.017901861633362444
32	Hb_R_Avg	0.017165525927177912
33	Hgam_R_Avg	0.016808161288432103
34	Hep_R_Avg	0.01609346865032927
35	H8_R_Cont	0.01576564952112128
36	Hb_L_Cont	0.015314132008817784
37	H8_R_Strength	0.014473416221642211
38	H8_R_Gam	0.014154020955552698
39	Hb_R_Cont	0.011463503556123581
