	Feature	Importance
0	Hdel_L_Cont	0.05527509416514047
1	Hdel_L_Strength	0.04555024593375951
2	Hgam_R_Strength	0.04448833179131889
3	Hep_R_Strength	0.04302795728875692
4	Hb_R_Strength	0.03996308893214352
5	Hdel_R_Cont	0.03958265723755429
6	H8_L_Cont	0.03951920019213824
7	Hb_L_Gam	0.03798086440153501
8	Hb_L_Strength	0.03563945879374462
9	Hgam_L_Strength	0.03412381704412669
10	Hep_L_Strength	0.03151942145735293
11	Hgam_L_Gam	0.03143517325430286
12	Hdel_R_Strength	0.031127803026370148
13	H8_L_Strength	0.029533603273454223
14	Hep_L_Gam	0.028711813607338252
15	Hep_R_Cont	0.026811695262694328
16	Hgam_R_Gam	0.024238717658112776
17	Hgam_L_Avg	0.02327647095944232
18	Hdel_R_Avg	0.022450758885579115
19	Hdel_L_Gam	0.02197424223720371
20	Hep_R_Gam	0.020738316166205337
21	H8_L_Gam	0.019665107524211425
22	H8_L_Avg	0.019645579001556102
23	Hep_L_Cont	0.01918419406542328
24	Hb_R_Gam	0.018814101384190953
25	Hdel_R_Gam	0.018021181086281216
26	Hgam_L_Cont	0.017434473196914498
27	Hgam_R_Avg	0.017236972043527265
28	Hep_L_Avg	0.01719371401381124
29	H8_R_Avg	0.01670759540333815
30	Hgam_R_Cont	0.016401269115128462
31	Hep_R_Avg	0.016075584549688948
32	Hb_L_Avg	0.015972511088801135
33	H8_R_Strength	0.014663155570806085
34	H8_R_Gam	0.012933762574977964
35	Hdel_L_Avg	0.012923565137066844
36	Hb_R_Avg	0.0119821915982703
37	H8_R_Cont	0.010310243283837981
38	Hb_L_Cont	0.010295375753030613
39	Hb_R_Cont	0.00757069204086323
