name	classification
HD224990	B5V
HD225132	B9IV
HD000108	O8:
HD000358	B8IV-V
HD000560	B9V
HD000628	B9IV
HD000886	B2IV
HD001279	B7II-III
HD001337	O9.2II
MWC005	B1III
HD002083	B0.5V
HD002772	B8V
HD002905	B0.7Ia
HD003240	B7IV
HD003360	B2IV
HD003369	B5III
HD003901	B4III
HD004180	B4III
HD004622	B9V
HD004727	B3V
HD004636	B8V
HD005394	B0.5IV
HD005737	B8II
HD006457	B9.5V
HD006456	A0IV-V
HD006675	B0.2II
HD006811	B6III
HD007374	B8V
HD236689	B2.5III
HD008511	A9V
HD009132	A1V
HD010205	B5III
HD010516	B0.2V
HD011415	B4III
HD011529	B5IV
HD012303	B8III
HD012534	B9V
HD012767	B6IV
HD013294	B9V
HD013295	A1V
HD013854	B1Iab
HD016046	B9V
HD016196	B9:III
HD016582	B2IV
HD016908	B3IV
HD017081	B6IV
HD017036	B9IV
HD017573	B8.5V
TYC4056_415_1	B9IV
HD018604	B5V
HD018877	B8IV
HD019356	B8IV
HD020365	B4IV
HD020418	B5III
HD020336	B2V
HD020756	B5V
HD020863	B8.5V
HD020961	A1IV
HD021071	B6V
HD021364	B8.5V
HD021278	B5V
HD021483	B3III
HD021291	B9Ia
HD021428	B4IV
HD021455	B6:V:
HD021389	A0Ia
HD021551	B8V
HD021790	B8IV
HD021641	B8.5V
HD021661	B9II-III
HD021699	B8III
HD021933	B9IV
HD022203	B9IV
HD021931	B9V
HD022192	B4III
HD022928	B5II-III
HD022951	B0.7V
HD023194	A5V
HD023180	B1III
HD023363	B7IV
HD023288	B7IV
HD023302	B5III
HD023324	B8V
HD023338	B6III
HD023408	B7II-III
HD023432	B8.5IV
HD023441	B9V
HD023480	B5III
HD023568	B9.5V
HD023478	B3IV
HD023629	A0V
HD023643	A3V
HD023630	B7II
HD023793	B5V
HD023753	B8IV
HD023850	B8III
HD023862	B9III
HD023873	B9.5V
HD023923	B9IV
HD023950	B8IV
HD023985	A5V
HD023800	B1III
HD024388	B7IV
HD024368	A1IV
HD024398	B1Ib
HD024431	O9III
HD024504	B5IV
HD024560	B1.5V
HD024640	B2V
HD024769	B9.5III
HD024479	B9IV
HD024760	B0.7III
HD024912	O7.5III
HD025204	B3IV
HD025348	B2V
HD025940	B2V
HD026793	B8IV
