wv raw rms rect wvcal snr
4941.31504744 65308.8405512 64960.9483972 0.0 32994.0 250.93480249
4940.77702409 65389.3980625 65089.131192 0.0 33355.0 251.286108967
4940.23898999 65618.7181515 65312.3290418 0.0 33143.0 251.717072032
4939.70094516 65566.1594306 65235.5656936 0.0 32752.0 251.515801042
4939.16288959 65492.0464864 65161.4997708 0.0 33283.0 251.368749029
4938.62482329 66067.2017258 65728.4002555 0.0 32752.0 252.47622818
4938.08674624 65841.8521301 65487.1277091 0.0 32851.0 251.966321954
4937.54865846 65974.7840351 65643.205101 0.0 33225.0 252.322145584
4937.01055994 66224.0307289 65918.9570848 0.0 33072.0 252.920765985
4936.47245069 66165.2724456 65843.6375291 0.0 33284.0 252.73864422
4935.9343307 66583.0015758 66279.6488135 0.0 33391.0 253.635648998
4935.39619997 66826.2845017 66519.6846148 0.0 33709.0 254.101490044
4934.8580585 65935.8140188 65618.8919138 0.0 33587.0 252.303522666
4934.3199063 66519.5467619 66216.6195534 0.0 33626.0 253.512328422
4933.78174336 66201.2932722 65881.3976388 0.0 33642.0 252.816765086
4933.24356968 65890.0898978 65598.0986587 0.0 33409.0 252.312587706
4932.70538527 66215.8998248 65902.0444506 0.0 33824.0 252.869701598
4932.16719011 67137.8586435 66819.6275396 0.0 33767.0 254.667266782
4931.62898422 67290.51507 66981.390772 0.0 33592.0 255.002566263
4931.0907676 68083.2340967 67752.3244447 0.0 33494.0 256.465223648
4930.55254023 68128.5045161 67807.8005043 0.0 33296.0 256.593510903
4930.01430213 67666.6973531 67386.8044687 0.0 33408.0 255.853780478
4929.47605329 68312.7433181 68043.9089535 0.0 33116.0 257.155611337
4928.93779372 68682.231075 68375.0530731 0.0 33215.0 257.722313277
4928.39952341 68588.9239696 68281.4111284 0.0 33371.0 257.540063277
4927.86124236 68649.4001634 68348.2232143 0.0 33140.0 257.682167027
4927.32295057 68936.3841104 68645.0029931 0.0 33180.0 258.276262642
4926.78464805 68844.282519 68520.8694521 0.0 33183.0 257.97275915
4926.24633479 68969.4887629 68681.4012705 0.0 33625.0 258.353162251
4925.70801079 68032.5539296 67733.5689212 0.0 33696.0 256.492069775
4925.16967605 67563.0352408 67266.9901932 0.0 33838.0 255.587528916
4924.63133058 66685.1094473 66427.7254107 0.0 34075.0 254.019293315
4924.09297437 66167.5547919 65877.2873 0.0 34578.0 252.868230721
4923.55460742 66829.7664426 66523.436574 0.0 34583.0 254.109407003
4923.01622974 66054.1444652 65751.6252201 0.0 34985.0 252.595182965
4922.47784132 66578.3674194 66264.7290427 0.0 35143.0 253.585631531
4921.93944216 67085.6312735 66771.4973534 0.0 35139.0 254.581022322
4921.40103226 68043.8633879 67767.6611137 0.0 35298.0 256.603715994
4920.86261163 68538.6738745 68261.6942764 0.0 35288.0 257.562250092
4920.32418026 67940.7037597 67668.5043401 0.0 35263.0 256.418547318
4919.78573815 68141.1411427 67839.1323072 0.0 35145.0 256.691599644
4919.24728531 68160.9161118 67865.287904 0.0 35398.0 256.755161652
4918.70882173 68353.9228509 68040.185256 0.0 35801.0 257.059361194
4918.17034741 68986.792541 68688.4009061 0.0 35956.0 258.346360307
4917.63186235 70078.0410958 69785.2381396 0.0 36612.0 260.46980027
4917.09336656 69909.3577411 69649.5404089 0.0 36969.0 260.274101606
4916.55486003 70937.0803999 70664.8624984 0.0 36891.0 262.191728827
4916.01634276 71246.6694728 70950.5109511 0.0 36998.0 262.688931326
4915.47781476 70589.1701308 70325.0996085 0.0 36513.0 261.559396931
4914.93927602 70933.6070201 70660.5397339 0.0 36302.0 262.181835665
4914.40072654 71240.0502868 70962.759347 0.0 36389.0 262.748919073
4913.86216632 71058.155998 70764.1074688 0.0 36136.0 262.338268127
4913.32359537 71111.6091418 70851.5575252 0.0 36113.0 262.570941525
4912.78501368 70457.0041075 70197.5657266 0.0 36132.0 261.324726981
4912.24642125 70414.5778222 70136.5793044 0.0 36212.0 261.171796036
4911.70781809 70808.0121202 70523.7603134 0.0 35923.0 261.899233669
4911.16920418 69454.4575228 69170.0942344 0.0 36112.0 259.303807482
4910.63057954 70782.3971529 70485.3281408 0.0 35897.0 261.800905014
4910.09194417 69904.9226941 69625.4121095 0.0 35724.0 260.189131389
4909.55329805 70179.722162 69878.749709 0.0 35753.0 260.633108899
4909.0146412 71090.70663 70804.4052884 0.0 36015.0 262.430084793
4908.47597362 71286.1305278 71012.3246382 0.0 36204.0 262.849930469
4907.93729529 71244.5073592 70987.5604107 0.0 35873.0 262.835650392
4907.39860623 72073.730263 71811.469606 0.0 36192.0 264.386958363
4906.85990643 72097.3699212 71836.4001728 0.0 36136.0 264.436566469
4906.32119589 72413.27164 72130.8486451 0.0 36189.0 264.950914307
4905.78247462 71662.7047726 71392.86431 0.0 36328.0 263.579975684
4905.24374261 72146.1901171 71881.2837373 0.0 36372.0 264.513744688
4904.70499986 72351.8163529 72073.1847046 0.0 36141.0 264.849471879
4904.16624637 72258.8973986 71993.4073216 0.0 36194.0 264.724324609
4903.62748215 71956.2561182 71678.0839352 0.0 36146.0 264.103949442
4903.08870719 71651.2930777 71375.2768227 0.0 36183.0 263.534652837
4902.5499215 71907.9543462 71616.6660279 0.0 35811.0 263.962330449
4902.01112506 72574.1490437 72317.0353296 0.0 35785.0 265.350603969
4901.47231789 71781.7500376 71513.0869452 0.0 35533.0 263.810052529
4900.93349998 72281.1519485 72037.6602027 0.0 35597.0 264.850352199
4900.39467134 72331.5939507 72050.7315168 0.0 35746.0 264.80280148
4899.85583195 72090.8525312 71854.773143 0.0 35836.0 264.519448517
4899.31698183 72349.741016 72085.8389317 0.0 35824.0 264.901792277
4898.77812098 72328.2714045 72085.7121608 0.0 35751.0 264.942791634
4898.23924938 72575.0580844 72313.7557108 0.0 35547.0 265.336347929
4897.70036705 72636.2968669 72388.8756403 0.0 35643.0 265.504536193
4897.16147398 73245.4833916 72994.7746555 0.0 35658.0 266.636038682
4896.62257018 72965.7006102 72716.1102747 0.0 35892.0 266.115478411
4896.08365563 72557.4151128 72297.8590172 0.0 35644.0 265.309780462
4895.54473035 72880.7579098 72599.6700611 0.0 35677.0 265.836115833
4895.00579434 72927.7270309 72668.1635478 0.0 35968.0 266.006240135
4894.46684758 72666.8626169 72432.6680582 0.0 35806.0 265.612443954
4893.92789009 72638.7853175 72400.4094564 0.0 35868.0 265.543687253
4893.38892186 72170.702772 71916.8366174 0.0 36040.0 264.602244771
4892.8499429 71400.025081 71140.249867 0.0 36060.0 263.120249782
4892.31095319 71097.4294308 70836.9097017 0.0 36400.0 262.542155559
4891.77195275 70469.1506268 70230.8295248 0.0 36384.0 261.429615677
4891.23294158 70542.8346679 70287.6946212 0.0 36654.0 261.505390761
4890.69391966 70653.781657 70416.0138192 0.0 37213.0 261.784379
4890.15488701 70885.6747149 70613.2457914 0.0 37757.0 262.092938533
4889.61584362 70566.5744939 70330.2811808 0.0 37618.0 261.62358124
4889.07678949 71219.8792083 70962.6167812 0.0 37950.0 262.787615364
4888.53772463 71588.2424416 71353.970594 0.0 38291.0 263.575289606
4887.99864903 70978.6966398 70725.6412471 0.0 38271.0 262.344866589
4887.45956269 71484.2451728 71220.8991064 0.0 37771.0 263.266413879
4886.92046562 71394.0662863 71135.1303427 0.0 37085.0 263.112159459
4886.38135781 71272.3901333 71027.6276907 0.0 36473.0 262.935510453
4885.84223926 71122.567955 70897.6621052 0.0 36209.0 262.727103727
4885.30310997 71222.942703 71000.6325084 0.0 36085.0 262.927912662
4884.76396995 70588.071444 70360.8696952 0.0 36153.0 261.699763808
4884.22481919 69565.6042657 69317.0254575 0.0 36327.0 259.657128629
4883.68565769 70051.5929703 69815.2810093 0.0 36853.0 260.638161039
4883.14648545 69393.698589 69166.6907714 0.0 37892.0 259.410190924
4882.60730248 69732.8244241 69501.0638793 0.0 39466.0 260.04406661
4882.06810877 69418.6343042 69149.0982659 0.0 40839.0 259.292536872
4881.52890432 69060.7669951 68834.1145564 0.0 42542.0 258.769548414
4880.98968914 68870.5415459 68620.6692301 0.0 44234.0 258.311194151
4880.45046322 69117.4428277 68878.1383776 0.0 45012.0 258.829560916
4879.91122656 68094.6283243 67888.1631275 0.0 45650.0 256.976769832
4879.37197917 68283.3821364 68046.9476747 0.0 45616.0 257.225798629
4878.83272103 67152.2592783 66899.596247 0.0 45135.0 254.955096521
4878.29345216 66567.1367617 66351.2532155 0.0 42937.0 253.952175872
4877.75417256 65639.5048066 65423.931245 0.0 39750.0 252.121875452
4877.21488221 64949.7402745 64696.4357628 0.0 37865.0 250.59951906
4876.67558113 63837.5722304 63578.6662723 0.0 36410.0 248.349818663
4876.13626931 63204.4577084 62981.4618633 0.0 35999.0 247.219469912
4875.59694676 62309.9057437 62075.5909018 0.0 36185.0 245.358718096
4875.05761347 62801.0310921 62565.9727269 0.0 35794.0 246.353573012
4874.51826944 62422.0262824 62167.1927134 0.0 35900.0 245.502713481
4873.97891467 61205.4654836 60969.4219913 0.0 35606.0 243.092583903
4873.43954916 60808.7590846 60567.8845058 0.0 35248.0 242.255959908
4872.90017292 59407.1085142 59183.414097 0.0 35180.0 239.420643102
4872.36078594 58155.5060963 57908.8217201 0.0 35018.0 236.697463229
4871.82138823 57296.8139864 57080.1673418 0.0 35192.0 235.006971215
4871.28197978 56062.6047797 55816.7397146 0.0 35071.0 232.242816458
4870.74256059 55345.6832642 55103.5621041 0.0 35285.0 230.712244975
4870.20313066 54668.5291038 54455.7081247 0.0 35660.0 229.369929569
4869.66368999 53318.8469997 53114.3572717 0.0 35232.0 226.449059638
4869.12423859 53089.4974605 52845.2970809 0.0 35514.0 225.766493302
4868.58477645 51283.9817092 51039.792028 0.0 35721.0 221.737153026
4868.04530358 50257.7093243 50043.2565227 0.0 35460.0 219.549479575
4867.50581996 48631.504354 48386.2148614 0.0 35570.0 215.67672484
4866.96632561 46687.2768584 46485.8970024 0.0 36023.0 211.335784047
4866.42682053 45032.0750173 44814.4086282 0.0 35595.0 207.310889
4865.8873047 43566.8669089 43384.1605066 0.0 35826.0 203.923258424
4865.34777814 41307.5510516 41109.3220364 0.0 35516.0 198.238874635
4864.80824084 39176.247888 38967.2102591 0.0 35425.0 192.744130964
4864.2686928 37447.8961742 37242.7194816 0.0 35235.0 188.237875116
4863.72913403 35181.1327646 34957.1107211 0.0 35166.0 182.03109701
4863.18956452 32312.6258214 32075.6040525 0.0 35324.0 173.924727958
4862.64998427 29538.0677202 29340.4672375 0.0 35121.0 166.01755823
4862.11039329 26799.0303198 26580.9561478 0.0 35215.0 157.461704477
4861.57079157 25440.8084456 25238.3060256 0.0 35208.0 153.207188021
4861.03117911 25020.6149141 24791.1209455 0.0 35074.0 151.6652889
4860.49155591 26726.9304656 26534.6516166 0.0 35304.0 157.392347218
4859.95192198 29129.4200186 28923.5505016 0.0 35126.0 164.737977264
4859.4122773 32216.3558751 32015.7109537 0.0 35307.0 173.853636894
4858.8726219 35050.4749199 34841.2370915 0.0 34949.0 181.752880837
4858.33295575 37783.7240113 37571.2949768 0.0 35120.0 189.087835469
4857.79327887 39880.013113 39671.2452284 0.0 35065.0 194.558720021
4857.25359125 41403.3910246 41182.4038835 0.0 35099.0 198.366175857
4856.71389289 43160.8846288 42947.1630656 0.0 35029.0 202.77507398
4856.1741838 45471.5335021 45249.1686049 0.0 35064.0 208.343876884
4855.63446397 46904.8880289 46664.3092131 0.0 35318.0 211.66458217
4855.0947334 48557.5437255 48349.274781 0.0 35236.0 215.676943236
4854.55499209 50519.9964689 50293.6805165 0.0 35105.0 220.091282004
4854.01524005 51760.3374529 51531.8189127 0.0 34986.0 222.877674119
4853.47547727 53922.0654261 53691.1262365 0.0 35119.0 227.659026867
4852.93570376 55241.4899795 54991.9394452 0.0 34958.0 230.454251667
4852.3959195 56107.1419654 55877.6991644 0.0 35323.0 232.409517576
4851.85612451 58127.7038494 57900.6150748 0.0 35166.0 236.722003995
4851.31631878 59524.2284577 59289.4061866 0.0 35241.0 239.618151753
4850.77650232 60115.2065082 59895.0901846 0.0 35702.0 240.908390842
4850.23667511 60655.0716827 60419.2334333 0.0 36037.0 241.959808808
4849.69683717 61573.5264394 61293.6168828 0.0 36574.0 243.666590382
4849.1569885 61844.2101746 61603.0960866 0.0 37167.0 244.380722472
4848.61712908 63601.1673914 63368.00267 0.0 37795.0 247.978480121
4848.07725893 64426.2681683 64185.5489613 0.0 38294.0 249.604643644
4847.53737804 65402.0458025 65182.0834324 0.0 38063.0 251.633294589
4846.99748642 66865.6764449 66597.0641602 0.0 38073.0 254.329628553
4846.45758405 68421.745369 68156.0070462 0.0 37476.0 257.379440738
4845.91767095 68855.7274422 68625.0539054 0.0 36760.0 258.357629828
4845.37774712 69932.0055058 69689.0606552 0.0 35704.0 260.383067135
4844.83781254 70757.617032 70516.1330764 0.0 35267.0 261.968141592
4844.29786723 71215.4707267 70992.1819893 0.0 35587.0 262.909947919
4843.75791118 72047.2159935 71802.0803956 0.0 35561.0 264.402362444
4843.21794439 73043.7898753 72799.8778002 0.0 35317.0 266.283637519
4842.67796687 73329.4558668 73054.9599002 0.0 35711.0 266.703128407
4842.13797861 73893.5520696 73646.8575946 0.0 35390.0 267.862906823
4841.59797961 74616.397826 74407.7589902 0.0 35323.0 269.351055593
4841.05796988 74626.8662805 74380.4844001 0.0 35409.0 269.228532181
4840.51794941 75291.7034176 75033.6667885 0.0 35473.0 270.415988993
4839.9779182 75713.3349504 75493.8791454 0.0 35553.0 271.338038596
4839.43787625 75339.6752382 75105.0400191 0.0 35775.0 270.592215669
4838.89782357 76719.6404588 76455.0724336 0.0 35585.0 273.01758952
4838.35776015 76785.5331866 76518.2122248 0.0 35257.0 273.127952328
4837.81768599 77122.1051755 76858.5933873 0.0 35513.0 273.757113987
4837.27760109 76541.8595928 76307.1676208 0.0 35585.0 272.802989276
4836.73750546 77265.865611 76999.6233925 0.0 35462.0 274.009299401
4836.19739909 76973.2621449 76743.467604 0.0 35416.0 273.610194936
4835.65728199 77705.2264504 77471.7032986 0.0 35682.0 274.930004777
4835.11715414 78963.768505 78735.7761768 0.0 35336.0 277.228307731
4834.57701556 78881.8580965 78632.1926027 0.0 35272.0 277.001291752
4834.03686624 79270.4453135 79034.1885149 0.0 35739.0 277.750377817
4833.49670619 79412.5223391 79162.3735854 0.0 35657.0 277.955196313
4832.9565354 80534.4904625 80282.4915223 0.0 35375.0 279.958328902
4832.41635387 79498.5256236 79237.9336797 0.0 35405.0 278.071691814
4831.8761616 80120.0310236 79830.9268245 0.0 35443.0 279.082769826
4831.33595859 80491.6249323 80243.7710216 0.0 35472.0 279.896827419
4830.79574485 81082.5650443 80830.0326583 0.0 35386.0 280.933001392
4830.25552038 81112.2734364 80867.933426 0.0 35395.0 281.015421854
4829.71528516 81480.4350009 81245.3557701 0.0 35576.0 281.702721807
4829.17503921 81386.063681 81121.6173275 0.0 35792.0 281.429399452
4828.63478252 81641.0059861 81383.4515446 0.0 35505.0 281.906530583
4828.09451509 81898.5402454 81633.4335482 0.0 35804.0 282.335542188
4827.55423693 82187.7131205 81948.3480087 0.0 35646.0 282.939253828
4827.01394802 81840.2080845 81613.1536934 0.0 35818.0 282.369075075
4826.47364839 82443.7178164 82182.6048679 0.0 35706.0 283.313152021
4825.93333801 82423.7584686 82188.426976 0.0 35596.0 283.370306415
4825.3930169 81037.3589458 80780.1265541 0.0 35888.0 280.835599655
4824.85268505 80398.2589972 80159.613012 0.0 36031.0 279.763476538
4824.31234246 80052.7251312 79772.5562317 0.0 36227.0 278.994700893
4823.77198914 80549.5877471 80278.8115642 0.0 36135.0 279.917246379
4823.23162507 81418.4102403 81170.6106578 0.0 36362.0 281.546825468
4822.69125028 83419.9657811 83195.6752637 0.0 35964.0 285.161082253
4822.15086474 83148.5579808 82906.1058188 0.0 35771.0 284.620256137
4821.61046847 84065.9388903 83835.8449663 0.0 35875.0 286.270325161
4821.07006146 83823.3885962 83550.4665183 0.0 35865.0 285.694414469
4820.52964371 84310.308602 84044.767005 0.0 35972.0 286.571015236
4819.98921522 84657.0482051 84417.052915 0.0 36170.0 287.265374261
4819.448776 84031.2495402 83774.126729 0.0 36077.0 286.113839788
4818.90832604 84399.2605018 84134.145153 0.0 36053.0 286.727602081
4818.36786535 83655.7561843 83359.5127145 0.0 35920.0 285.31810129
4817.82739391 84647.7952259 84382.916722 0.0 36082.0 287.161286153
4817.28691174 85105.4755514 84857.8624886 0.0 36116.0 288.017570179
4816.74641884 84899.9721716 84651.2529144 0.0 36188.0 287.656868243
4816.20591519 85026.9261646 84730.4319275 0.0 36570.0 287.708774596
4815.66540081 85145.9997266 84896.3371296 0.0 36876.0 288.080649704
4815.12487569 85184.9393796 84941.533646 0.0 37629.0 288.17024926
4814.58433983 85207.2930321 84955.8931925 0.0 38276.0 288.18083534
4814.04379324 85630.552676 85398.4133801 0.0 38862.0 288.981624126
4813.50323591 84402.3678206 84143.5425157 0.0 39292.0 286.755291684
4812.96266784 84094.1398335 83793.4693139 0.0 39893.0 286.069183696
4812.42208904 84249.2682611 83976.3494855 0.0 40085.0 286.438403325
4811.88149949 84794.2574228 84525.439032 0.0 39581.0 287.402138442
4811.34089921 85353.3930785 85113.9696483 0.0 39409.0 288.476262053
4810.8002882 85940.9227883 85666.1142734 0.0 38955.0 289.368102898
4810.25966644 86380.7624144 86106.115304 0.0 38862.0 290.127289064
4809.71903395 86260.5768622 86000.1888476 0.0 38879.0 289.970151894
4809.17839073 86450.1459978 86215.6520842 0.0 39033.0 290.38730912
4808.63773676 85964.3595052 85710.5889785 0.0 39987.0 289.482408502
