HD 224990,B5 V,,3CenA
HD 225132,B9 Ive,,3CenB
HD 108,O8fpvar,,BD+47_1108
HD 358,B7 Vp,,HD000108
HD 560,B9 Ve~,,HD000358
HD 628,B9 IV,,HD000358
HD 886*,B2 IV,,HD000358
HD 1279,B7 III,,HD000560
HD 1337,O9.2 II,,HD000628
MWC005,B1 V,,HD000886
HD 2083,B0 III,,HD001279
HD 2772,B8 Ivnn,,HD001337
HD 2905*,B0.7 Ia,,HD002083
HD 3240,B8 V~,,HD002772
HD 3360,B2 IV,,HD002905
HD 3369,B3 V~,,HD003240
HD 3901,B3 V,,HD003360
HD 4180,B5 IIIe?,,HD003369
HD 4622,B9 V,,HD003901
HD 4727*,B5 V,,HD004180
HD 4636,B8 V,,HD004622
HD 5394,B0.5 why not V?,,HD004636
HD 5737,B7 III,,HD004727
HD 6457,A0 IV,,HD005394
HD 6456,A0 IV~,,HD005737
HD 6675*,B0.2 III,,HD006456
HD 6811,B7 III,,HD006457
HD 7374,B8 IV binary?,,HD006675
HD 236689,B1 V?,,HD006811
HD 8511*,A9 V,,HD007374
HD 9132*,A1 Va,,HD008511
HD 10205,B8 III,,HD009132
HD 10516,B1.5 ?,,HD010205
HD 11415,B3 IV,,HD010516
HD 11529,B5 III,,HD011415
HD 12303,B8 III,,HD011529
HD 12534,B9.5 V,,HD012303
HD 12767,B8 III,,HD012534
HD 13294,B9 V,,HD012767
HD 13295,A1 V~,,HD013294
HD 13854*,B1 Iab,,HD013295
HD 16046*,B9 Va,,HD013854
HD 16196,binary,,HD016046
HD 16582*,B2 IV,,HD016196
HD 16908,B3 V,,HD016582
HD 17081,B6 IV?,,HD016908
HD 17036,B8 IV,,HD017036
HD 17573,B8 IV~,,HD017081
TYC4056_415_1,B8 Vp,,HD017573
HD 18604,B7 V,,HD018604
HD 18877,B8 V~ H?,,HD018877
HD 19356*,B8 Vs,,HD019356
HD 20365*,B3 V,,HD019356
HD 20418,B3 Vn,,HD020336
HD 20336,B2 Vne,,HD020365
HD 20756,B5 V,,HD020418
HD 20863,B9 V,,HD020756
HD 20961,A0 V,,HD020863
HD 21071*,B7 V,,HD020961
HD 21364,B9 Ve?~,,HD021071
HD 21278,B5 V,,HD021278
HD 21483*,B3 III,,HD021291
HD 21291*,B9 Ia,,HD021364
HD 21428,B3 V,,HD021389
HD 21455,B7 V,,HD021428
HD 21389*,A0 Ia,,HD021455
HD 21551,B8 V,,HD021483
HD 21790,B8 IV,,HD021551
HD 21641,B9 Ve,,HD021641
HD 21661,B9 III,,HD021661
HD 21699,B8 IIIp,,HD021699
HD 21933,B8 IV w/ B9 He,,HD021790
HD 22203,B8 IV,,HD021931
HD 21931,B9 V,,HD021933
HD 22192,B5 IIIe,,HD022192
HD 22928*,B5 III,,HD022203
HD 22951,B1 V,,HD022928
HD 23194*,A5 V,,HD022951
HD 23180,B0.5 V,,HD023180
HD 23363,B8 V,,HD023194
HD 23288*,B7 Ivn,,HD023288
HD 23302,B5 III,,HD023302
HD 23324*,B8 Vn,,HD023302
HD 23338*,B6 IV,,HD023324
HD 23408,B7 III,,HD023338
HD 23432,B8 IV,,HD023363
HD 23441,B9 V,,HD023408
HD 23480,B7 III,,HD023432
HD 23568,B9 V,,HD023441
HD 23478,B3 IV,,HD023478
HD 23629,A0 V,,HD023480
HD 23643*,A3 Va,,HD023568
HD 23630,B7 III,,HD023629
HD 23793,B5 V,,HD023630
HD 23753,B8 IV-III,,HD023630
HD 23850*,B8 III,,HD023643
HD 23862,B5 III~,,HD023753
HD 23873,B9 V,,HD023793
HD 23923,B8 IV~,,HD023800
HD 23950,B7 IV~,,HD023850
HD 23985,A5 V,,HD023862
HD 23800,B5 III~,,HD023862
HD 24388,B8 V,,HD023873
HD 24368,A1 IV,,HD023923
HD 24398*,B1 Ib,,HD023950
HD 24431,O9 III,,HD023985
HD 24504,B7 V,,HD024368
HD 24560,B1 Ve?,,HD024388
HD 24640,B2 V,,HD024398
HD 24769,B9 IV,,HD024431
HD 24479,B9 VI,,HD024479
HD 24760*,B0.7 III,,HD024504
HD 24912*,O7.5 III(n)((f)),,HD024560
HD 25204,B3 IV,,HD024640
HD 25348,B1 V?,,HD024760
HD 25940,B3 V or B5,,HD024769
HD 26793,B8 V,,HD024912
HD 26912,B3 V,,HD025204
HD 26670,B7 V,,HD025348
HD 27396,B3 V,,HD025940
HD 28319*,A7 III,,HD026670
HD 28503A,B7 III,,HD026793
HD 28503B,B8 V,,HD026912
HD 28446A,O9.7 Iin,,HD027396
HD 28446B,B1 IV:,,HD028319
HD 28543,A0 III,,HD028446A
HD 280006,B1.5 V,,HD028446B
HD 29096,B8 III-IV,,HD028503A
HD 29035,B9 III,,HD028503B
HD 29332,B3V,,HD028543
HD 30211,B3V,,HD029035
HD 30004,B3III,,HD029096
HD 30836*,B2III,,HD029332
HD 30614*,O9.5Ia,,HD030004
HD 32249,B2.5V,,HD030211
HD 32630*,B3V,,HD030614
HD 32811,B8III,,HD030836
HD 33111*,A3IV,,HD032249
HD 32961,B1.5V,,HD032630
BD+47_1108,B7IV,,HD032811
HD 34085*,B8Ia,,HD032961
HD 34078*,O9.5V,,HD033111
HD 33988,B2Ve,,HD033988
HD 34503*,B5III,,HD034078
HD 34816*,B0.5IV,,HD034085
HD 280849,B1.5V,,HD034085
HD 34656,>O9V,,HD034085
HD 34805,B8I,,HD034503
HD 34906,B7V,,HD034656
HD 35039,B2.5III,,HD034759
HD 34759*,B5V,,HD034805
HD 35269,B8V,,HD034816
HD 35468*,B2III,,HD034906
HD 35345,B1.5III,,HD035039
HD 35497*,B7III,,HD035269
HD 36512*,B0V,,HD035345
HD 36822*,B0.2IV,,HD035468
HD 36960*,B0.5V,,HD035468
HD 36861J*,O8III((f)),,HD035497
HD 36862,,,HD036512
HD 37711*,B3IV,,HD036822
HD 38771*,B0.5Ia,,HD036861J
HD 38708,B3III,,HD036960
HD 39801,M1,,HD037711
HD 40111,B0III?,,HD038708
HD 40312,B9IV,,HD038771
HD 41117*,B2Ia,,HD039801
HD 42560,B3V,,HD040111
HD 45542,B3V,,HD040312
HD 46487,B3V,,HD041117
HD 47105,A2V,,HD042560
HD 47100,B7III,,HD045542
HD 47431,B8V?,,HD046487
HD 48977,,,HD046487
HD 49229,B8.2III,,HD047100
HD 49606,B8III,,HD047105
HD 50228,,,HD047105
HD 49340,B5III,,HD047431
HD 51477,,,HD049229
HD 51688,B8V,,HD049340
HD 51893,B8V,,HD049606
HD 52037,B3V?,,HD051638
HD 51638,B9V,,HD051688
HD 52559,B2IV,,HD051893
HD 55606,B2V,,HD052037
HD 55200,?,,HD052559
HD 55579,B9V,,HD055200
HD 56310,,,HD055579
HD 57539,B3V,,HD055606
HD 56386,B9IV,,HD055606
HD 56169*,A2III,,HD055606
HD 57102,B8IV,,HD056169
HD 57103,B8V,,HD056310
HD 58715,B8V,,HD056386
HD 60178J,A1V,,HD057102
HD 60863,B8V,,HD057103
HD 60855,B1V Nebular,,HD057539
HD 61068,B1V,,HD058715
HD 61093,A0III or B9V,,HD060178J
HD 61554,B7V,,HD060178J
HD 60818,A2V,,HD060178J
HD 61931*,A0III,,HD060818
HD 63112,B9V,,HD060855
HD 63021,A1V,,HD060863
HD 63975,B8III,,HD061068
HD 64705,B9IV,,HD061093
HD 65241,A0V,,HD061554
HD 65041,B3V cp,,HD061931
HD 65396,B8.5V,,HD063021
HD 65875,B1.5Ve,,HD063021
HD 65804,B8III,,HD063021
HD 66684,B9V,,HD063112
HD 67797,B3V,,HD063975
HD 67880,B2.5V,,HD064705
HD 68099,B8V,,HD065041
HD 68194,A0V,,HD065241
HD 69686,B5V,,HD065396
HD 71072,B2Vp,,HD065804
HD 71155*,A0Va,,HD065875
HD 71554,B9.5V,,HD066684
HD 71906,B9V,,HD067797
HD 73262*,A1IV,,HD067880
HD 74217,B9V,,HD068099
HD 74280*,B3V,,HD068194
HD 74393,B9V,,HD069686
HD 74815,B9V,,HD071072
HD 75357,A1IV,,HD071155
HD 74604,B7IV,,HD071554
HD 75333,B8IV,,HD071906
HD 75390,A0V,,HD073262
HD 76644*,A7IV,,HD074217
HD 77327,A0III,,HD074280
HD 78316,B8V,,HD074393
HD 78556,B9IV,,HD074604
HD 79158,B8V,,HD074815
HD 79931,B8.5V,,HD075333
HD 80608,B9V,,HD075357
HD 82865,B9.5V,,HD075390
HD 82327,B9V,,HD076644
HD 83434,B9V,,HD077327
HD 83650,B9V,,HD078316
HD 83754,B5V,,HD078556
HD 87015,B2V cp,,HD079158
HD 87504,B8IV,,HD079931
HD 87737*,A0Ib,,HD080608
HD 87696*,A7V,,HD082327
HD 87887*,A0III,,HD082865
HD 87901,B8V,,HD083434
HD 89239,B9.5V,,HD083650
HD 89688,BI.5V cp,,HD083754
HD 89774,A1IV,,HD087015
HD 89884,B2V?,,HD087504
HD 89897,B9V,,HD087696
HD 90044,B9V,,HD087737
HD 90882,B9V,,HD087887
HD 90994,B7V,,HD087901
HD 91120,B8IV,,HD087901
HD 91130,A1V cp,,HD087901
HD 91316*,B1Iab,,HD087901
HD 93033,B8V,,HD087901
HD 93152,B9V,,HD089239
HD 93521,O9.5IIIn,,HD089688
HD 93427,A0IV,,HD089774
HD 92728,B9V,,HD089884
HD 94601,A0V,,HD089897
HD 95418,A1V,,HD090044
HD 96314,A8.5V,,HD090882
HD 97277*,A2IV,,HD090994
HD 97603,A3IV,,HD091120
HD 97633,A1IV,,HD091120
HD 98664,B9V,,HD091130
HD 100600,B3V,,HD091316
HD 100889,B9V,,HD092728
HD 100972,A0V,,HD093033
HD 102647*,A3Va,,HD093152
HD 103287*,A0Van,,HD093427
